L_number_plus	plus	number	number	x	%1$s + %2$s
L_number_times	times	number	number	x	%1$s * %2$s
L_number_div	div	number	number	x	%1$s / %2$s
L_number_gt	gt	number	bool	x	%1$s > %2$s
L_bool_if	if	bool		t,f
L_bytes_and	and	bytes	bytes	b	new BytesOf(%1$s).and(new BytesOf(%2$s)).take()
L_bytes_or	or	bytes	bytes	b	new BytesOf(%1$s).or(new BytesOf(%2$s)).take()
L_bytes_not	not	bytes	bytes		new BytesOf(%1$s).not().take()
L_bytes_concat	concat	bytes	bytes	b	java.nio.ByteBuffer.allocate(%1$s.length + %2$s.length).put(%1$s).put(%2$s).array()
L_bytes_eq	eq	bytes	bool	b
L_bytes_right	right	bytes	bytes	x
L_bytes_size	size	bytes	number		%1$s.length
L_bytes_slice	slice	bytes	bytes	start,len
